uid,log_date,time,device,browser,push_notification,bid_day,country,state,bidded
54030035,"March 2, 2022",8:00,Android,Chrome,A,1,USA,UTAH,TRUE
72574201,"March 2, 2022",8:10,iOS,Safari,B,1,USA,COLORADO,TRUE
64187558,"March 2, 2022",8:00,iOS,Chrome,A,1,USA,ARIZONA,TRUE
92513925,"March 2, 2022",8:10,Android,Chrome,B,1,USA,UTAH,TRUE
99231338,"March 2, 2022",8:10,iOS,Chrome,B,1,USA,COLORADO,TRUE
64229733,"March 2, 2022",8:00,Android,Chrome,A,1,USA,ARIZONA,TRUE
16377492,"March 2, 2022",8:10,Android,Chrome,B,1,USA,UTAH,TRUE
36350096,"March 2, 2022",8:10,Android,Chrome,B,1,USA,COLORADO,TRUE
98955454,"March 2, 2022",8:00,Android,Chrome,A,1,USA,ARIZONA,TRUE
40461463,"March 2, 2022",8:10,Android,Chrome,B,1,USA,UTAH,TRUE
99094125,"March 2, 2022",8:10,iOS,Chrome,B,1,USA,COLORADO,TRUE
60943517,"March 2, 2022",8:10,Android,Chrome,B,1,USA,ARIZONA,TRUE
13373345,"March 2, 2022",8:00,Android,Chrome,A,1,USA,UTAH,TRUE
89447705,"March 2, 2022",8:10,Android,Chrome,B,1,USA,COLORADO,TRUE
74263197,"March 2, 2022",8:10,Android,Chrome,B,1,USA,ARIZONA,TRUE
58375061,"March 2, 2022",8:00,iOS,Chrome,A,1,USA,UTAH,TRUE
61798397,"March 2, 2022",8:10,Android,Chrome,B,1,USA,COLORADO,TRUE
73480791,"March 2, 2022",8:00,iOS,Chrome,A,1,USA,ARIZONA,TRUE
50777128,"March 2, 2022",8:10,iOS,Chrome,B,1,USA,UTAH,FALSE
89464221,"March 2, 2022",8:10,iOS,Chrome,B,1,USA,COLORADO,FALSE
53378171,"March 2, 2022",8:10,iOS,Safari,B,1,USA,ARIZONA,FALSE
75142313,"March 2, 2022",8:10,iOS,Safari,B,1,USA,UTAH,FALSE
72086031,"March 2, 2022",8:00,iOS,Safari,A,1,USA,COLORADO,TRUE
96565337,"March 2, 2022",8:10,Android,Chrome,B,1,USA,ARIZONA,FALSE
36476360,"March 2, 2022",8:00,iOS,Chrome,A,1,USA,UTAH,TRUE
20819344,"March 2, 2022",8:10,Android,Chrome,B,1,USA,COLORADO,FALSE
16113980,"March 2, 2022",8:10,Android,Chrome,B,1,USA,ARIZONA,FALSE
12223114,"March 2, 2022",8:00,Android,Chrome,A,1,USA,UTAH,TRUE
